Label,Contrast0,Contrast45,Contrast90,Contrast135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135,ASM0,ASM45,ASM90,ASM135
corrosion,0.93572304,1.93462514,1.20862439,1.57925413,0.64200368,1.00882737,0.75007659,0.90071511,0.7077601,0.58317748,0.66945202,0.61490944,0.1907893,0.15813094,0.17948062,0.16560788,0.92281151,0.84051588,0.90028225,0.86981527,0.03640056,0.02500539,0.03221329,0.02742597
corrosion,3.854856,4.18397539,2.48054534,5.51063437,1.04964767,1.10515955,0.82928922,1.30757401,0.6681719,0.65170914,0.70505037,0.61784203,0.20256275,0.18928371,0.20066393,0.18103146,0.91195021,0.9044827,0.94339524,0.87420161,0.04103167,0.03582832,0.04026601,0.03277239
corrosion,1.96663603,2.14511342,1.98661152,2.12287582,0.82454044,0.90663591,0.84371936,0.90731257,0.68526999,0.65216268,0.67611906,0.65032449,0.21165304,0.1992927,0.20749235,0.19880818,0.74723403,0.72412364,0.74488668,0.72698843,0.04479701,0.03971758,0.04305307,0.03952469
corrosion,2.32544424,3.25460977,2.88834252,4.14589773,0.74293811,0.94214533,0.83040748,1.06818916,0.74015196,0.68461417,0.72104966,0.6636593,0.19544413,0.17885957,0.19136388,0.17366697,0.89825865,0.85713549,0.87337505,0.81804574,0.03819841,0.03199075,0.03662013,0.03016022
corrosion,0.72719056,0.99832372,0.69764093,0.93522491,0.43003983,0.53957709,0.4231924,0.51464821,0.81097073,0.7697106,0.81273007,0.77846607,0.31422173,0.30082017,0.31469884,0.30210554,0.97204899,0.96158158,0.97313326,0.96398735,0.09873529,0.09049278,0.09903536,0.09126776
corrosion,0.26775429,1.43283353,1.28031556,1.43117263,0.19661458,0.54323722,0.47231924,0.54234525,0.9080963,0.79127925,0.82018338,0.79171938,0.28108316,0.23275707,0.24317716,0.23309335,0.98852439,0.93807762,0.94468198,0.93812415,0.07900774,0.05417586,0.05913513,0.05433251
corrosion,3.86231618,4.40545944,2.27604167,4.84373702,0.93235294,1.00716647,0.66090686,1.09628604,0.70957483,0.69405541,0.77205768,0.67506012,0.27597007,0.2674937,0.28322987,0.26095476,0.86549396,0.84650598,0.92047019,0.83122126,0.07615948,0.07155288,0.08021916,0.06809738
corrosion,0.62107843,2.24524414,1.66819853,1.85524029,0.31868873,0.64539792,0.52169118,0.5831757,0.86328478,0.76517431,0.79838577,0.77533596,0.24634401,0.21290358,0.22569195,0.21516392,0.98055884,0.92908391,0.94742518,0.94147406,0.06068537,0.04532793,0.05093685,0.04629551
corrosion,1.61536458,3.08985775,2.35117953,2.69114956,0.71321998,1.0314802,0.87547488,0.95188005,0.71771134,0.63685834,0.67620077,0.65532021,0.19102625,0.1712922,0.17971878,0.17599683,0.93323406,0.87243092,0.90285131,0.88888614,0.03649103,0.02934102,0.03229884,0.03097488
corrosion,2.02152267,3.42209919,2.13423713,3.07492503,0.76079963,1.05116494,0.79342831,1.00018454,0.72366354,0.65786073,0.71311643,0.66341061,0.27038492,0.26038991,0.26759185,0.26047324,0.93940809,0.89721958,0.93588912,0.9076532,0.073108,0.06780291,0.0716054,0.06784631
corrosion,0.60742953,1.12106113,0.84512868,1.22911188,0.31527267,0.44910419,0.37411152,0.46755863,0.86759596,0.82887821,0.85066682,0.82454943,0.3218311,0.30924144,0.31587595,0.30775468,0.96750794,0.94014064,0.95491991,0.93437419,0.10357526,0.09563027,0.09977762,0.09471295
corrosion,4.84604779,6.1981238,3.70611213,6.12129181,0.89178922,1.08978085,0.67715993,1.05591696,0.72228668,0.67841111,0.78889123,0.68900428,0.18487908,0.17121538,0.20816822,0.17436616,0.8278354,0.77758649,0.86748206,0.7804516,0.03418027,0.02931471,0.04333401,0.03040356
corrosion,2.33074449,2.95609381,2.34425551,3.11175702,0.80433517,0.94840446,0.8189185,0.97051903,0.71630301,0.67575118,0.70760334,0.67377823,0.19336957,0.17945079,0.18829445,0.17903084,0.89752635,0.87013989,0.89687434,0.86327846,0.03739179,0.03220258,0.0354548,0.03205204
corrosion,2.2464614,3.4253441,2.80301777,3.36904268,0.86524203,1.12678201,0.9948989,1.11384852,0.67676324,0.60726692,0.63990952,0.61040702,0.17104665,0.15699642,0.16361282,0.15740694,0.91297555,0.8673141,0.89151507,0.8695165,0.02925696,0.02464788,0.02676915,0.02477694
corrosion,0.71571691,0.96393695,0.5703125,1.04981161,0.53452819,0.66546713,0.46090686,0.69850058,0.75063942,0.69658401,0.78039046,0.68506159,0.21449222,0.19675454,0.22680358,0.1932607,0.92481096,0.89826196,0.93979733,0.88920772,0.04600691,0.03871235,0.05143987,0.0373497
corrosion,6.14004289,6.88558247,5.42640931,6.8189158,1.59335172,1.69554787,1.43893995,1.69033449,0.51018409,0.49572083,0.55202842,0.49547482,0.18646719,0.18326612,0.19664835,0.18354171,0.71120491,0.67676211,0.74600614,0.67988177,0.03477001,0.03358647,0.03867057,0.03368756
corrosion,1.38648897,2.32270665,1.88800551,2.77697809,0.64433211,0.86748174,0.77909007,0.96576701,0.74171916,0.68284105,0.70320715,0.660741,0.27140947,0.26293625,0.266164,0.26089741,0.95181976,0.91936947,0.93434372,0.90360285,0.0736631,0.06913547,0.07084328,0.06806746
corrosion,6.00022978,6.16246059,6.24912684,7.26840446,1.75280331,1.80346021,1.779856,1.93830065,0.44902741,0.43603027,0.4459449,0.42369818,0.15793879,0.15531137,0.15845852,0.15385923,0.38961609,0.37354151,0.36432175,0.26110108,0.02494466,0.02412162,0.0251091,0.02367266
corrosion,1.5524663,2.11609381,1.41213235,1.87326413,0.63509498,0.75034218,0.58704044,0.68510573,0.75810873,0.73137539,0.77332028,0.74825295,0.2675991,0.26205929,0.27003465,0.26506197,0.96035419,0.94593342,0.96391314,0.95213471,0.07160928,0.06867507,0.07291871,0.07025785
corrosion,4.46649816,7.01121107,6.40631127,6.57194925,1.55341605,2.0232526,1.9033701,1.93843906,0.46683135,0.38400392,0.40523628,0.39879489,0.13764975,0.12475084,0.12817937,0.12680784,0.65157536,0.45369242,0.50070547,0.48792883,0.01894745,0.01556277,0.01642995,0.01608023
corrosion,0.21747855,0.58929642,0.47432598,0.55715494,0.16478248,0.32441369,0.27803309,0.3209381,0.92228828,0.85861965,0.87658983,0.85862152,0.4559538,0.44154659,0.4446215,0.44132999,0.99578624,0.98858814,0.9908166,0.98921058,0.20789387,0.19496339,0.19768828,0.19477216
corrosion,1.32130821,1.74085352,1.17571998,1.70881968,0.69146752,0.83061899,0.62112439,0.82023837,0.70905282,0.66291893,0.73708533,0.66555841,0.16849307,0.15596918,0.17486077,0.15705524,0.96125063,0.94882843,0.9654072,0.94979151,0.02838991,0.02432639,0.03057629,0.02466635
corrosion,0.71623775,1.27600154,0.84640012,1.27120338,0.38207721,0.5616609,0.4185815,0.55953864,0.83448227,0.77174734,0.82205693,0.77291229,0.25329982,0.23230457,0.24908627,0.23361889,0.9717191,0.94935809,0.96648338,0.94954108,0.0641608,0.05396541,0.06204397,0.05457778
corrosion,1.56407782,1.87738562,1.67729779,1.88095348,0.6404565,0.73385621,0.65655637,0.73831603,0.75597564,0.72540613,0.75350809,0.72345218,0.30119741,0.28807512,0.30099819,0.28702522,0.94383037,0.93265177,0.93991124,0.93248452,0.09071988,0.08298728,0.09059991,0.08238348
corrosion,0.98874081,1.86045367,1.42012868,1.89188774,0.54995404,0.79686275,0.65591299,0.80092272,0.76248808,0.68808947,0.73323152,0.68782008,0.22551688,0.20338535,0.21377947,0.20392764,0.97538649,0.95366369,0.96462883,0.95287535,0.05085786,0.0413656,0.04570166,0.04158648
corrosion,3.06317402,4.97817762,3.56749387,4.08539792,0.95067402,1.28159938,1.08606005,1.19537101,0.66894342,0.59376022,0.62854727,0.60205969,0.17267642,0.15835543,0.16329123,0.15951977,0.94088809,0.90359191,0.93092312,0.92088646,0.02981715,0.02507644,0.02666403,0.02544656
corrosion,0.39116115,0.56430604,0.36165748,0.57753172,0.34854473,0.46225298,0.32406556,0.47188005,0.82998279,0.7790131,0.8417156,0.77455016,0.29149105,0.26664575,0.29923518,0.26471248,0.93778266,0.90992247,0.94225775,0.90777904,0.08496703,0.07109995,0.08954169,0.0700727
corrosion,1.38368566,1.42216071,1.17890625,1.79589389,0.60598958,0.64781238,0.57069547,0.74617455,0.75717004,0.73938449,0.76675515,0.70700287,0.30487243,0.29572865,0.30927249,0.28083179,0.92880906,0.92683546,0.93970184,0.90766294,0.0929472,0.08745543,0.09564948,0.07886649
